Địa phương,Năm,Số thư viện (Đơn vị),Số sách trong thư viện (Nghìn bản)
geoId-TQG,2015,7.0,188.2
geoId-TQG,2016,6.0,361.1
geoId-TQG,2017,6.0,373.9
geoId-TNN,2004,51.0,657.3
geoId-TNN,2005,53.0,788.2
geoId-TNN,2006,52.0,870.9
geoId-TNN,2007,53.0,853.2
geoId-TNN,2008,55.0,956.4
geoId-TNN,2009,56.0,1080.0
geoId-TNN,2010,56.0,1075.0
geoId-TNN,2012,153.0,800.0
geoId-TNN,2013,152.0,1424.0
geoId-TNN,2014,59.0,1430.0
geoId-TNN,2015,59.0,1578.7
geoId-TNN,2016,59.0,1701.9
geoId-TNN,2017,59.0,1844.8
geoId-TNH,2004,10.0,198.0
geoId-TNH,2005,10.0,203.0
geoId-TNH,2006,10.0,209.0
geoId-TNH,2007,10.0,215.9
geoId-TNH,2008,10.0,148.2
geoId-TNH,2009,10.0,161.6
geoId-TNH,2010,10.0,171.0
geoId-TNH,2012,11.0,312.0
geoId-TNH,2013,13.0,303.0
geoId-TNH,2014,10.0,319.0
geoId-TNH,2015,10.0,319.0
geoId-TNH,2016,10.0,453.9
geoId-TNH,2017,10.0,506.4
geoId-VLG,2004,8.0,255.0
geoId-VLG,2005,8.0,280.0
geoId-VLG,2006,8.0,274.3
geoId-VLG,2007,8.0,269.1
geoId-VLG,2008,8.0,264.3
geoId-VLG,2009,8.0,279.7
geoId-VLG,2010,9.0,292.0
geoId-VLG,2012,44.0,323.0
geoId-VLG,2013,40.0,336.0
geoId-VLG,2014,9.0,340.0
geoId-VLG,2015,9.0,354.2
geoId-VLG,2016,9.0,371.7
geoId-VLG,2017,9.0,376.1
geoId-VPC,2004,6.0,117.0
geoId-VPC,2005,6.0,93.0
geoId-VPC,2006,6.0,100.0
geoId-VPC,2007,7.0,108.5
geoId-VPC,2008,7.0,112.0
geoId-VPC,2009,7.0,127.1
geoId-VPC,2010,7.0,138.0
geoId-VPC,2012,8.0,250.0
geoId-VPC,2013,12.0,191.0
geoId-VPC,2014,9.0,265.0
geoId-VPC,2015,9.0,264.3
geoId-VPC,2016,9.0,289.9
geoId-VPC,2017,9.0,262.1
geoId-YBI,2004,10.0,165.0
geoId-YBI,2005,10.0,171.4
geoId-YBI,2006,11.0,192.6
geoId-YBI,2007,11.0,142.4
geoId-YBI,2008,11.0,108.2
geoId-YBI,2009,11.0,234.1
geoId-YBI,2010,11.0,220.0
geoId-YBI,2012,16.0,281.0
geoId-YBI,2013,15.0,305.0
geoId-YBI,2014,10.0,271.0
geoId-YBI,2015,10.0,251.0
geoId-YBI,2016,10.0,355.1
geoId-YBI,2017,10.0,337.7
geoId-DBN,2004,8.0,278.0
geoId-DBN,2005,8.0,339.0
geoId-DBN,2006,8.0,189.5
geoId-DBN,2007,8.0,174.0
geoId-DBN,2008,8.0,182.6
geoId-DBN,2009,8.0,196.1
geoId-DBN,2010,10.0,144.0
geoId-DBN,2012,10.0,
geoId-DBN,2013,11.0,172.0
geoId-DBN,2014,11.0,176.0
geoId-DBN,2015,11.0,297.9
geoId-DBN,2016,11.0,189.7
geoId-DBN,2017,11.0,184.8
geoId-DNG,2004,3.0,128.0
geoId-DNG,2005,3.0,128.0
geoId-DNG,2006,3.0,128.0
geoId-DNG,2007,3.0,167.0
geoId-DNG,2008,4.0,167.0
geoId-DNG,2009,4.0,219.0
geoId-DNG,2010,4.0,226.0
geoId-DNG,2012,15.0,255.0
geoId-DNG,2013,12.0,239.0
geoId-DNG,2014,13.0,250.0
geoId-DNG,2015,4.0,274.6
geoId-DNG,2016,4.0,299.7
geoId-DNG,2017,4.0,323.3
geoId-ST,2004,66.0,4471.2
geoId-ST,2005,69.0,4217.0
geoId-ST,2006,71.0,4207.1
geoId-ST,2007,72.0,4463.2
geoId-ST,2008,73.0,4716.6
geoId-ST,2009,73.0,4487.6
geoId-ST,2010,75.0,4164.0
geoId-ST,2012,511.0,2782.0
geoId-ST,2013,501.0,2848.0
geoId-ST,2014,76.0,2254.0
geoId-ST,2015,76.0,3281.9
geoId-ST,2016,76.0,3642.9
geoId-ST,2017,76.0,4001.8
geoId-DLK,2004,12.0,108.0
geoId-DLK,2005,13.0,136.0
geoId-DLK,2006,13.0,159.0
geoId-DLK,2007,13.0,131.7
geoId-DLK,2008,13.0,150.0
geoId-DLK,2009,13.0,155.0
geoId-DLK,2010,13.0,128.0
geoId-DLK,2012,28.0,
geoId-DLK,2013,29.0,261.0
geoId-DLK,2014,14.0,231.0
geoId-DLK,2015,14.0,270.3
geoId-DLK,2016,14.0,313.5
geoId-DLK,2017,14.0,329.3
geoId-DNG1,2004,6.0,31.0
geoId-DNG1,2005,6.0,34.1
geoId-DNG1,2006,5.0,68.2
geoId-DNG1,2007,5.0,44.1
geoId-DNG1,2008,7.0,51.0
geoId-DNG1,2009,7.0,57.4
geoId-DNG1,2010,7.0,63.0
geoId-DNG1,2012,19.0,119.0
geoId-DNG1,2013,19.0,110.0
geoId-DNG1,2014,9.0,120.0
geoId-DNG1,2015,9.0,194.5
geoId-DNG1,2016,9.0,130.7
geoId-DNG1,2017,9.0,169.3
geoId-MRD,2004,119.0,3016.6
geoId-MRD,2005,119.0,3449.0
geoId-MRD,2006,119.0,3343.4
geoId-MRD,2007,122.0,3344.0
geoId-MRD,2008,126.0,3364.2
geoId-MRD,2009,125.0,3553.3
geoId-MRD,2010,125.0,3606.0
geoId-MRD,2012,345.0,3506.0
geoId-MRD,2013,350.0,3586.0
geoId-MRD,2014,133.0,3041.0
geoId-MRD,2015,131.0,3997.8
geoId-MRD,2016,133.0,4598.5
geoId-MRD,2017,134.0,4842.7
geoId-RRD,2004,131.0,2472.8
geoId-RRD,2005,133.0,2459.6
geoId-RRD,2006,133.0,2664.4
geoId-RRD,2007,135.0,2638.9
geoId-RRD,2008,137.0,2592.2
geoId-RRD,2009,138.0,2638.3
geoId-RRD,2010,137.0,2669.0
geoId-RRD,2012,479.0,3743.0
geoId-RRD,2013,527.0,3470.0
geoId-RRD,2014,133.0,5154.0
geoId-RRD,2015,134.0,6050.5
geoId-RRD,2016,134.0,6818.8
geoId-RRD,2017,134.0,7009.8
geoId-DNI,2004,9.0,1213.0
geoId-DNI,2005,11.0,825.0
geoId-DNI,2006,11.0,855.0
geoId-DNI,2007,11.0,858.0
geoId-DNI,2008,12.0,898.0
geoId-DNI,2009,12.0,809.0
geoId-DNI,2010,13.0,319.0
geoId-DNI,2012,301.0,528.0
geoId-DNI,2013,289.0,589.0
geoId-DNI,2014,12.0,547.0
geoId-DNI,2015,12.0,638.0
geoId-DNI,2016,12.0,761.8
geoId-DNI,2017,12.0,789.5
geoId-DTP,2004,6.0,165.5
geoId-DTP,2005,6.0,217.0
geoId-DTP,2006,7.0,220.0
geoId-DTP,2007,8.0,251.0
geoId-DTP,2008,8.0,271.0
geoId-DTP,2009,8.0,301.0
geoId-DTP,2010,8.0,310.0
geoId-DTP,2012,9.0,415.0
geoId-DTP,2013,12.0,196.0
geoId-DTP,2014,10.0,240.0
geoId-DTP,2015,10.0,300.0
geoId-DTP,2016,10.0,362.4
geoId-DTP,2017,10.0,401.0
