Tỉnh/Thành phố,Thời gian,CSTP 1: Gia nhập thị trường ,Số ngày đăng ký doanh nghiệp (trung vị),Số ngày thay đổi ĐKDN (trung vị),Phải chờ hơn 1 tháng hoàn thành tất cả các thủ tục để chính thức hoạt động(% DN),Phải chờ hơn 3 tháng hoàn thành tất cả các thủ tục để chính thức hoạt động(% DN),"Tỉ lệ DN làm thủ tục ĐKDN qua phương thức mới (trực tuyến, TTHCC, bưu điện(%)",Thủ tục (thay đổi) ĐKDN: Thủ tục được niêm yết công khai(%),"Thủ tục (thay đổi) ĐKDN: Cán bộ hướng dẫn rõ ràng, đầy đủ(%)",Thủ tục (thay đổi) ĐKDN: Cán bộ am hiểu chuyên môn(%),"Thủ tục (thay đổi) ĐKDN: Cán bộ nhiệt tình, thân thiện(%)",Thủ tục (thay đổi) ĐKDN: Ứng dụng CNTT tốt (%)
geoId-KGG,201700,8.392972946166992,7.0,5.0,0.1666666716337204,0.03333333507180214,0.21052631735801697,0.8974359035491943,0.9189189076423645,0.78125,0.8857142925262451,0.7777777910232544
geoId-KTM,201700,7.794779300689697,5.0,2.0,0.05714285746216774,0.05714285746216774,0.024390242993831635,0.7435897588729858,0.925000011920929,0.7749999761581421,0.7749999761581421,0.5454545617103577
geoId-LCU,201700,8.038866996765137,4.0,3.0,0.12903225421905518,0.032258063554763794,0.0555555559694767,0.7647058963775635,0.9444444179534912,0.7777777910232544,0.7777777910232544,0.7241379022598267
Lâm Đồng,201700,7.513143539428711,6.0,5.0,0.10638298094272614,0.042553190141916275,0.30000001192092896,0.7400000095367432,0.8039215803146362,0.5918367505073547,0.6530612111091614,0.5227272510528564
geoId-LSN,201700,6.918931484222412,7.0,5.0,0.25806450843811035,0.0,0.05882352963089943,0.7428571581840515,0.7837837934494019,0.5945945978164673,0.6486486196517944,0.40625
geoId-LCI,201700,7.374783992767334,5.0,5.0,0.190476194024086,0.0476190485060215,0.1304347813129425,0.804347813129425,0.8409090638160706,0.6590909361839294,0.695652186870575,0.5
geoId-LAN,201700,8.705353736877441,5.0,5.5,0.0416666679084301,0.0,0.32258063554763794,0.875,0.8787878751754761,0.78125,0.8181818127632141,0.7586206793785095
Nam Định,201700,7.620000839233398,7.0,4.0,0.1489361673593521,0.021276595070958138,0.10869564861059189,0.7450980544090271,0.8600000143051147,0.6666666865348816,0.7755101919174194,0.574999988079071
geoId-NAN,201700,7.845610618591309,7.0,3.0,0.10256410390138626,0.05128205195069313,0.1627907007932663,0.8444444537162781,0.9111111164093018,0.6511628031730652,0.7446808218955994,0.5833333134651184
geoId-NBH,201700,7.700899600982666,7.0,7.0,0.1621621549129486,0.054054055362939835,0.15789473056793213,0.8372092843055725,0.9047619104385376,0.6976743936538696,0.6829268336296082,0.6842105388641357
geoId-NTN,201700,7.837321758270264,7.0,5.0,0.09677419066429138,0.0,0.029411764815449715,0.800000011920929,0.8918918967247009,0.7058823704719543,0.8285714387893677,0.5555555820465088
geoId-PTO,201700,8.033803939819336,7.0,2.5,0.13953489065170288,0.0,0.09302325546741486,0.8333333134651184,0.8958333134651184,0.804347813129425,0.7708333134651184,0.5789473652839661
geoId-PYN,201700,8.054574966430664,3.0,2.0,0.1388888955116272,0.02777777798473835,0.05000000074505806,0.8157894611358643,0.9210526347160339,0.7894737124443054,0.7837837934494019,0.6551724076271057
geoId-QBH,201700,8.168669700622559,7.0,3.0,0.05128205195069313,0.0,0.07500000298023224,0.7948718070983887,0.9189189076423645,0.7941176295280457,0.7352941036224365,0.6666666865348816
geoId-QNM,201700,8.196316719055176,5.0,4.0,0.12962962687015533,0.018518518656492233,0.290909081697464,0.8275862336158752,0.9152542352676392,0.6842105388641357,0.7288135886192322,0.686274528503418
geoId-QNI,201700,7.667263984680176,6.0,5.0,0.17777778208255768,0.02222222276031971,0.02083333395421505,0.7234042286872864,0.875,0.782608687877655,0.8163265585899353,0.6315789222717285
geoId-QNH,201700,8.92581558227539,7.0,3.0,0.0555555559694767,0.0,0.557692289352417,0.8545454740524292,0.8867924809455872,0.7962962985038757,0.7857142686843872,0.7021276354789734
geoId-QTI,201700,8.02669906616211,3.0,3.0,0.0833333358168602,0.02777777798473835,0.0714285746216774,0.75,0.9268292784690857,0.7948718070983887,0.7857142686843872,0.6071428656578064
geoId-STG,201700,8.249074935913086,5.0,4.0,0.03703703731298447,0.03703703731298447,0.05882352963089943,0.837837815284729,0.9736841917037964,0.7837837934494019,0.8108108043670654,0.6666666865348816
geoId-SLA,201700,7.405378341674805,7.0,5.0,0.1794871836900711,0.05128205195069313,0.08888889104127884,0.7692307829856873,0.8780487775802612,0.6904761791229248,0.6904761791229248,0.5757575631141663
geoId-HCM,201700,7.438117980957031,5.0,5.0,0.15789473056793213,0.0,0.6888889074325562,0.6888889074325562,0.7021276354789734,0.4318181872367859,0.43478259444236755,0.47727271914482117
geoId-TTH,201700,7.928104400634766,7.0,7.0,0.24390244483947754,0.04878048598766327,0.1599999964237213,0.8399999737739563,0.9166666865348816,0.8125,0.8399999737739563,0.7105262875556946
geoId-TNH,201700,7.416077613830566,6.0,3.0,0.10526315867900848,0.02631578966975212,0.05263157933950424,0.6585366129875183,0.8500000238418579,0.625,0.707317054271698,0.5882353186607361
geoId-TBH,201700,7.838291168212891,7.0,3.5,0.125,0.0,0.3499999940395355,0.7837837934494019,0.8333333134651184,0.6060606241226196,0.6216216087341309,0.5714285969734192
geoId-TNN,201700,7.266942977905273,5.0,5.0,0.21875,0.0625,0.05000000074505806,0.8717948794364929,0.800000011920929,0.675000011920929,0.6000000238418579,0.6315789222717285
geoId-THA,201700,8.301397323608398,5.0,8.5,0.15555556118488312,0.02222222276031971,0.09302325546741486,0.8799999952316284,0.9583333134651184,0.8541666865348816,0.8367347121238708,0.7906976938247681
geoId-TGG,201700,7.484637260437012,5.0,3.0,0.24390244483947754,0.09756097197532654,0.023255813866853714,0.7727272510528564,0.8888888955116272,0.8181818127632141,0.8666666746139526,0.5666666626930237
geoId-TVH,201700,8.085987091064453,5.0,1.0,0.0625,0.0,0.0,0.7241379022598267,0.9677419066429138,0.78125,0.78125,0.6153846383094788
geoId-TQG,201700,8.294599533081055,5.0,3.0,0.0714285746216774,0.0,0.09375,0.8064516186714172,0.9354838728904724,0.699999988079071,0.800000011920929,0.7586206793785095
geoId-VLG,201700,8.468633651733398,3.0,3.0,0.1111111119389534,0.02777777798473835,0.125,0.8857142925262451,0.8857142925262451,0.800000011920929,0.8571428656578064,0.800000011920929
geoId-VPC,201700,7.095162391662598,7.0,5.0,0.1041666641831398,0.0416666679084301,0.08888889104127884,0.6600000262260437,0.8235294222831726,0.5714285969734192,0.7058823704719543,0.44186046719551086
geoId-YBI,201700,7.648221015930176,7.0,3.0,0.25,0.0555555559694767,0.0731707289814949,0.837837815284729,0.8717948794364929,0.824999988079071,0.75,0.6206896305084229
